field,s2-Residue Management (No-Till)(329),s2-Cover Crop(340),s2-Nutrient Management(590),s2-Constructed Wetland(656),s2-All CPS
removed_TP_max,195.36913801541564,108.1130564255508,177.80646080119945,10.117809895734087,195.36913801541564
efficiency_TN_count,473,209,310,8,1000
efficiency_TN_mean,0.9863927585675597,0.9848935512788262,0.9851934623477951,0.9757437125300532,0.9856224500477873
efficiency_TN_std,0.10490584606225452,0.11512965674792065,0.106296205313754,0.05386838200552789,0.10712539750578558
efficiency_TN_min,0.0033582230755141718,0.01173997401814284,0.006619030683956132,0.8473340445209873,0.0033582230755141718
efficiency_TN_p25,1.0,1.0,1.0,0.9896539139298596,1.0
efficiency_TN_p50,1.0,1.0,1.0,1.0,1.0
efficiency_TN_p75,1.0,1.0,1.0,1.0,1.0
efficiency_TN_max,1.0,1.0,1.0,1.0,1.0
efficiency_TP_count,473,209,310,8,1000
efficiency_TP_mean,0.9874178626652104,0.9848610001542463,0.9861432808298027,0.9771326981915327,0.9864060767156532
efficiency_TP_std,0.10284246655763071,0.11538715162579712,0.10500892142669407,0.05009549566590946,0.10582654469807232
efficiency_TP_min,0.003358223075514172,0.010789974214849368,0.006619030683956132,0.8584459298128228,0.003358223075514172
efficiency_TP_p25,1.0,1.0,1.0,0.9896539139298596,1.0
efficiency_TP_p50,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p75,1.0,1.0,1.0,1.0,1.0
efficiency_TP_max,1.0,1.0,1.0,1.0,1.0
cost_usd_count,473,209,310,8,1000
cost_usd_mean,860.1569972600996,2591.88579343135,1365.799821167704,75637.83446331705,1977.0590107997036
cost_usd_std,885.6616579182573,2186.158526157966,1332.4798739122905,42098.02289106703,7653.064486919444
cost_usd_min,0.12441568564608696,1.8692164673817533,0.4562968904665139,18477.661192552467,0.12441568564608696
cost_usd_p25,356.5535794930399,1164.507333378973,518.2310455439151,50050.33077793233,468.2501087079554
cost_usd_p50,599.9278609524468,2015.306852476606,909.7831488302063,58387.232732443335,877.3447535394682
cost_usd_p75,1020.1693810186316,3179.247384705289,1710.851709582514,115744.50497449658,1750.7090079529141
cost_usd_max,9465.114157553906,13817.07446609361,7031.412773855399,135447.5125895917,135447.5125895917
total_cost_usd,406854.2597040271,541704.1308271522,423397.94456198823,605102.6757065364,1977059.0107997037
wetland_area_ha_count,,,,8.0,8.0
wetland_area_ha_mean,,,,0.7925068480654497,0.7925068480654497
wetland_area_ha_std,,,,0.6151886771004543,0.6151886771004543
wetland_area_ha_min,,,,0.11297960832036585,0.11297960832036585
wetland_area_ha_p25,,,,0.37551971791140576,0.37551971791140576
wetland_area_ha_p50,,,,0.6761796398611358,0.6761796398611358
wetland_area_ha_p75,,,,0.9808508663867614,0.9808508663867614
wetland_area_ha_max,,,,1.9399607359735505,1.9399607359735505
catchment_ratio_count,,,,8.0,8.0
catchment_ratio_mean,,,,9.33696001809983,9.33696001809983
catchment_ratio_std,,,,12.889627211413853,12.889627211413853
catchment_ratio_min,,,,1.3081088075896243,1.3081088075896243
catchment_ratio_p25,,,,3.31942716967823,3.31942716967823
catchment_ratio_p50,,,,5.058979818781333,5.058979818781333
catchment_ratio_p75,,,,7.820461006089694,7.820461006089694
catchment_ratio_max,,,,40.499703208179994,40.499703208179994
