pid,pollutant,min,p10,p25,p50,p75,p90,max
95,TN,0,8,15,25,40,70,150
96,TN,0,8,15,25,40,70,150
97,TN,0,8,15,25,40,70,150
98,TN,0,8,15,25,40,70,150
99,TN,0,8,15,25,40,70,150
100,TN,0,8,15,25,40,70,150
101,TN,0,8,15,25,40,70,150
102,TN,0,8,15,25,40,70,150
103,TN,0,8,15,25,40,70,150
104,TN,0,8,15,25,40,70,150
105,TN,0,8,15,25,40,70,150
106,TN,0,8,15,25,40,70,150
107,TN,0,8,15,25,40,70,150
108,TN,0,8,15,25,40,70,150
109,TN,0,8,15,25,40,70,150
110,TN,0,8,15,25,40,70,150
111,TN,0,8,15,25,40,70,150
112,TN,0,8,15,25,40,70,150
113,TN,0,8,15,25,40,70,150
114,TN,0,8,15,25,40,70,150
115,TN,0,8,15,25,40,70,150
116,TN,0,8,15,25,40,70,150
117,TN,0,8,15,25,40,70,150
118,TN,0,8,15,25,40,70,150
119,TN,0,8,15,25,40,70,150
120,TN,0,8,15,25,40,70,150
121,TN,0,8,15,25,40,70,150
122,TN,0,8,15,25,40,70,150
123,TN,0,8,15,25,40,70,150
124,TN,0,8,15,25,40,70,150
125,TN,0,8,15,25,40,70,150
126,TN,0,8,15,25,40,70,150
127,TN,0,8,15,25,40,70,150
128,TN,0,8,15,25,40,70,150
129,TN,0,8,15,25,40,70,150
130,TN,0,8,15,25,40,70,150
131,TN,0,8,15,25,40,70,150
132,TN,0,8,15,25,40,70,150
133,TN,0,8,15,25,40,70,150
134,TN,0,8,15,25,40,70,150
135,TN,0,8,15,25,40,70,150
136,TN,0,8,15,25,40,70,150
137,TN,0,8,15,25,40,70,150
138,TN,0,8,15,25,40,70,150
139,TN,0,8,15,25,40,70,150
140,TN,0,8,15,25,40,70,150
141,TN,0,8,15,25,40,70,150
142,TN,0,8,15,25,40,70,150
143,TN,0,8,15,25,40,70,150
144,TN,0,8,15,25,40,70,150
145,TN,0,8,15,25,40,70,150
146,TN,0,8,15,25,40,70,150
147,TN,0,8,15,25,40,70,150
148,TN,0,8,15,25,40,70,150
149,TN,0,8,15,25,40,70,150
150,TN,0,8,15,25,40,70,150
151,TN,0,8,15,25,40,70,150
152,TN,0,8,15,25,40,70,150
153,TN,0,8,15,25,40,70,150
154,TN,0,8,15,25,40,70,150
155,TN,0,8,15,25,40,70,150
156,TN,0,8,15,25,40,70,150
157,TN,0,8,15,25,40,70,150
158,TN,0,8,15,25,40,70,150
159,TN,0,8,15,25,40,70,150
160,TN,0,8,15,25,40,70,150
161,TN,0,8,15,25,40,70,150
162,TN,0,8,15,25,40,70,150
163,TN,0,8,15,25,40,70,150
164,TN,0,8,15,25,40,70,150
165,TN,0,8,15,25,40,70,150
166,TN,0,8,15,25,40,70,150
167,TN,0,8,15,25,40,70,150
168,TN,0,8,15,25,40,70,150
169,TN,0,8,15,25,40,70,150
170,TN,0,8,15,25,40,70,150
171,TN,0,8,15,25,40,70,150
172,TN,0,8,15,25,40,70,150
173,TN,0,8,15,25,40,70,150
174,TN,0,8,15,25,40,70,150
175,TN,0,8,15,25,40,70,150
176,TN,0,8,15,25,40,70,150
177,TN,0,8,15,25,40,70,150
178,TN,0,8,15,25,40,70,150
179,TN,0,8,15,25,40,70,150
180,TN,0,8,15,25,40,70,150
181,TN,0,8,15,25,40,70,150
182,TN,0,8,15,25,40,70,150
183,TN,0,8,15,25,40,70,150
184,TN,0,8,15,25,40,70,150
185,TN,0,8,15,25,40,70,150
186,TN,0,8,15,25,40,70,150
187,TN,0,8,15,25,40,70,150
188,TN,0,8,15,25,40,70,150
189,TN,0,8,15,25,40,70,150
190,TN,0,8,15,25,40,70,150
191,TN,0,8,15,25,40,70,150
192,TN,0,8,15,25,40,70,150
193,TN,0,8,15,25,40,70,150
194,TN,0,8,15,25,40,70,150
195,TN,0,8,15,25,40,70,150
196,TN,0,8,15,25,40,70,150
197,TN,0,8,15,25,40,70,150
198,TN,0,8,15,25,40,70,150
199,TN,0,8,15,25,40,70,150
200,TN,0,8,15,25,40,70,150
201,TN,0,8,15,25,40,70,150
202,TN,0,8,15,25,40,70,150
203,TN,0,8,15,25,40,70,150
204,TN,0,8,15,25,40,70,150
205,TN,0,8,15,25,40,70,150
206,TN,0,8,15,25,40,70,150
207,TN,0,8,15,25,40,70,150
208,TN,0,8,15,25,40,70,150
209,TN,0,8,15,25,40,70,150
210,TN,0,8,15,25,40,70,150
211,TN,0,8,15,25,40,70,150
212,TN,0,8,15,25,40,70,150
213,TN,0,8,15,25,40,70,150
214,TN,0,8,15,25,40,70,150
215,TN,0,8,15,25,40,70,150
216,TN,0,8,15,25,40,70,150
217,TN,0,8,15,25,40,70,150
218,TN,0,8,15,25,40,70,150
219,TN,0,8,15,25,40,70,150
220,TN,0,8,15,25,40,70,150
221,TN,0,8,15,25,40,70,150
222,TN,0,8,15,25,40,70,150
223,TN,0,8,15,25,40,70,150
224,TN,0,8,15,25,40,70,150
225,TN,0,8,15,25,40,70,150
226,TN,0,8,15,25,40,70,150
227,TN,0,8,15,25,40,70,150
228,TN,0,8,15,25,40,70,150
229,TN,0,8,15,25,40,70,150
230,TN,0,8,15,25,40,70,150
231,TN,0,8,15,25,40,70,150
232,TN,0,8,15,25,40,70,150
233,TN,0,8,15,25,40,70,150
234,TN,0,8,15,25,40,70,150
235,TN,0,8,15,25,40,70,150
236,TN,0,8,15,25,40,70,150
237,TN,0,8,15,25,40,70,150
238,TN,0,8,15,25,40,70,150
239,TN,0,8,15,25,40,70,150
240,TN,0,8,15,25,40,70,150
241,TN,0,8,15,25,40,70,150
242,TN,0,8,15,25,40,70,150
243,TN,0,8,15,25,40,70,150
244,TN,0,8,15,25,40,70,150
245,TN,0,8,15,25,40,70,150
246,TN,0,8,15,25,40,70,150
247,TN,0,8,15,25,40,70,150
248,TN,0,8,15,25,40,70,150
249,TN,0,8,15,25,40,70,150
250,TN,0,8,15,25,40,70,150
251,TN,0,8,15,25,40,70,150
252,TN,0,8,15,25,40,70,150
253,TN,0,8,15,25,40,70,150
254,TN,0,8,15,25,40,70,150
255,TN,0,8,15,25,40,70,150
256,TN,0,8,15,25,40,70,150
257,TN,0,8,15,25,40,70,150
258,TN,0,8,15,25,40,70,150
259,TN,0,8,15,25,40,70,150
260,TN,0,8,15,25,40,70,150
261,TN,0,8,15,25,40,70,150
262,TN,0,8,15,25,40,70,150
263,TN,0,8,15,25,40,70,150
264,TN,0,8,15,25,40,70,150
265,TN,0,8,15,25,40,70,150
266,TN,0,8,15,25,40,70,150
267,TN,0,8,15,25,40,70,150
268,TN,0,8,15,25,40,70,150
269,TN,0,8,15,25,40,70,150
270,TN,0,8,15,25,40,70,150
271,TN,0,8,15,25,40,70,150
272,TN,0,8,15,25,40,70,150
273,TN,0,8,15,25,40,70,150
274,TN,0,8,15,25,40,70,150
275,TN,0,8,15,25,40,70,150
276,TN,0,8,15,25,40,70,150
277,TN,0,8,15,25,40,70,150
278,TN,0,8,15,25,40,70,150
279,TN,0,8,15,25,40,70,150
280,TN,0,8,15,25,40,70,150
281,TN,0,8,15,25,40,70,150
282,TN,0,8,15,25,40,70,150
283,TN,0,8,15,25,40,70,150
284,TN,0,8,15,25,40,70,150
285,TN,0,8,15,25,40,70,150
286,TN,0,8,15,25,40,70,150
287,TN,0,8,15,25,40,70,150
288,TN,0,8,15,25,40,70,150
289,TN,0,8,15,25,40,70,150
290,TN,0,8,15,25,40,70,150
291,TN,0,8,15,25,40,70,150
292,TN,0,8,15,25,40,70,150
293,TN,0,8,15,25,40,70,150
294,TN,0,8,15,25,40,70,150
295,TN,0,8,15,25,40,70,150
296,TN,0,8,15,25,40,70,150
297,TN,0,8,15,25,40,70,150
298,TN,0,8,15,25,40,70,150
299,TN,0,8,15,25,40,70,150
300,TN,0,8,15,25,40,70,150
301,TN,0,8,15,25,40,70,150
302,TN,0,8,15,25,40,70,150
303,TN,0,8,15,25,40,70,150
304,TN,0,8,15,25,40,70,150
305,TN,0,8,15,25,40,70,150
306,TN,0,8,15,25,40,70,150
307,TN,0,8,15,25,40,70,150
308,TN,0,8,15,25,40,70,150
309,TN,0,8,15,25,40,70,150
310,TN,0,8,15,25,40,70,150
311,TN,0,8,15,25,40,70,150
312,TN,0,8,15,25,40,70,150
313,TN,0,8,15,25,40,70,150
314,TN,0,8,15,25,40,70,150
315,TN,0,8,15,25,40,70,150
316,TN,0,8,15,25,40,70,150
317,TN,0,8,15,25,40,70,150
318,TN,0,8,15,25,40,70,150
319,TN,0,8,15,25,40,70,150
320,TN,0,8,15,25,40,70,150
321,TN,0,8,15,25,40,70,150
322,TN,0,8,15,25,40,70,150
323,TN,0,8,15,25,40,70,150
324,TN,0,8,15,25,40,70,150
325,TN,0,8,15,25,40,70,150
326,TN,0,8,15,25,40,70,150
327,TN,0,8,15,25,40,70,150
328,TN,0,8,15,25,40,70,150
329,TN,0,8,15,25,40,70,150
330,TN,0,8,15,25,40,70,150
331,TN,0,8,15,25,40,70,150
332,TN,0,8,15,25,40,70,150
333,TN,0,8,15,25,40,70,150
334,TN,0,8,15,25,40,70,150
335,TN,0,8,15,25,40,70,150
336,TN,0,8,15,25,40,70,150
337,TN,0,8,15,25,40,70,150
338,TN,0,8,15,25,40,70,150
339,TN,0,8,15,25,40,70,150
340,TN,0,8,15,25,40,70,150
341,TN,0,8,15,25,40,70,150
342,TN,0,8,15,25,40,70,150
343,TN,0,8,15,25,40,70,150
344,TN,0,8,15,25,40,70,150
345,TN,0,8,15,25,40,70,150
346,TN,0,8,15,25,40,70,150
347,TN,0,8,15,25,40,70,150
348,TN,0,8,15,25,40,70,150
349,TN,0,8,15,25,40,70,150
350,TN,0,8,15,25,40,70,150
351,TN,0,8,15,25,40,70,150
352,TN,0,8,15,25,40,70,150
353,TN,0,8,15,25,40,70,150
354,TN,0,8,15,25,40,70,150
355,TN,0,8,15,25,40,70,150
356,TN,0,8,15,25,40,70,150
357,TN,0,8,15,25,40,70,150
358,TN,0,8,15,25,40,70,150
359,TN,0,8,15,25,40,70,150
360,TN,0,8,15,25,40,70,150
361,TN,0,8,15,25,40,70,150
362,TN,0,8,15,25,40,70,150
363,TN,0,8,15,25,40,70,150
364,TN,0,8,15,25,40,70,150
365,TN,0,8,15,25,40,70,150
366,TN,0,8,15,25,40,70,150
367,TN,0,8,15,25,40,70,150
368,TN,0,8,15,25,40,70,150
369,TN,0,8,15,25,40,70,150
370,TN,0,8,15,25,40,70,150
371,TN,0,8,15,25,40,70,150
372,TN,0,8,15,25,40,70,150
373,TN,0,8,15,25,40,70,150
374,TN,0,8,15,25,40,70,150
375,TN,0,8,15,25,40,70,150
376,TN,0,8,15,25,40,70,150
377,TN,0,8,15,25,40,70,150
378,TN,0,8,15,25,40,70,150
379,TN,0,8,15,25,40,70,150
380,TN,0,8,15,25,40,70,150
381,TN,0,8,15,25,40,70,150
382,TN,0,8,15,25,40,70,150
383,TN,0,8,15,25,40,70,150
384,TN,0,8,15,25,40,70,150
385,TN,0,8,15,25,40,70,150
386,TN,0,8,15,25,40,70,150
387,TN,0,8,15,25,40,70,150
388,TN,0,8,15,25,40,70,150
389,TN,0,8,15,25,40,70,150
390,TN,0,8,15,25,40,70,150
391,TN,0,8,15,25,40,70,150
392,TN,0,8,15,25,40,70,150
393,TN,0,8,15,25,40,70,150
394,TN,0,8,15,25,40,70,150
395,TN,0,8,15,25,40,70,150
396,TN,0,8,15,25,40,70,150
397,TN,0,8,15,25,40,70,150
398,TN,0,8,15,25,40,70,150
399,TN,0,8,15,25,40,70,150
400,TN,0,8,15,25,40,70,150
401,TN,0,8,15,25,40,70,150
402,TN,0,8,15,25,40,70,150
403,TN,0,8,15,25,40,70,150
404,TN,0,8,15,25,40,70,150
405,TN,0,8,15,25,40,70,150
406,TN,0,8,15,25,40,70,150
407,TN,0,8,15,25,40,70,150
408,TN,0,8,15,25,40,70,150
409,TN,0,8,15,25,40,70,150
410,TN,0,8,15,25,40,70,150
411,TN,0,8,15,25,40,70,150
412,TN,0,8,15,25,40,70,150
413,TN,0,8,15,25,40,70,150
414,TN,0,8,15,25,40,70,150
415,TN,0,8,15,25,40,70,150
416,TN,0,8,15,25,40,70,150
417,TN,0,8,15,25,40,70,150
418,TN,0,8,15,25,40,70,150
419,TN,0,8,15,25,40,70,150
420,TN,0,8,15,25,40,70,150
421,TN,0,8,15,25,40,70,150
422,TN,0,8,15,25,40,70,150
423,TN,0,8,15,25,40,70,150
424,TN,0,8,15,25,40,70,150
425,TN,0,8,15,25,40,70,150
426,TN,0,8,15,25,40,70,150
427,TN,0,8,15,25,40,70,150
428,TN,0,8,15,25,40,70,150
429,TN,0,8,15,25,40,70,150
430,TN,0,8,15,25,40,70,150
431,TN,0,8,15,25,40,70,150
432,TN,0,8,15,25,40,70,150
433,TN,0,8,15,25,40,70,150
434,TN,0,8,15,25,40,70,150
435,TN,0,8,15,25,40,70,150
436,TN,0,8,15,25,40,70,150
437,TN,0,8,15,25,40,70,150
438,TN,0,8,15,25,40,70,150
439,TN,0,8,15,25,40,70,150
440,TN,0,8,15,25,40,70,150
441,TN,0,8,15,25,40,70,150
442,TN,0,8,15,25,40,70,150
443,TN,0,8,15,25,40,70,150
444,TN,0,8,15,25,40,70,150
445,TN,0,8,15,25,40,70,150
446,TN,0,8,15,25,40,70,150
447,TN,0,8,15,25,40,70,150
448,TN,0,8,15,25,40,70,150
449,TN,0,8,15,25,40,70,150
450,TN,0,8,15,25,40,70,150
451,TN,0,8,15,25,40,70,150
452,TN,0,8,15,25,40,70,150
453,TN,0,8,15,25,40,70,150
454,TN,0,8,15,25,40,70,150
455,TN,0,8,15,25,40,70,150
456,TN,0,8,15,25,40,70,150
457,TN,0,8,15,25,40,70,150
458,TN,0,8,15,25,40,70,150
459,TN,0,8,15,25,40,70,150
460,TN,0,8,15,25,40,70,150
461,TN,0,8,15,25,40,70,150
462,TN,0,8,15,25,40,70,150
463,TN,0,8,15,25,40,70,150
464,TN,0,8,15,25,40,70,150
465,TN,0,8,15,25,40,70,150
466,TN,0,8,15,25,40,70,150
467,TN,0,8,15,25,40,70,150
468,TN,0,8,15,25,40,70,150
469,TN,0,8,15,25,40,70,150
470,TN,0,8,15,25,40,70,150
471,TN,0,8,15,25,40,70,150
472,TN,0,8,15,25,40,70,150
473,TN,0,8,15,25,40,70,150
474,TN,0,8,15,25,40,70,150
475,TN,0,8,15,25,40,70,150
476,TN,0,8,15,25,40,70,150
477,TN,0,8,15,25,40,70,150
478,TN,0,8,15,25,40,70,150
479,TN,0,8,15,25,40,70,150
480,TN,0,8,15,25,40,70,150
481,TN,0,8,15,25,40,70,150
482,TN,0,8,15,25,40,70,150
483,TN,0,8,15,25,40,70,150
484,TN,0,8,15,25,40,70,150
485,TN,0,8,15,25,40,70,150
486,TN,0,8,15,25,40,70,150
487,TN,0,8,15,25,40,70,150
488,TN,0,8,15,25,40,70,150
489,TN,0,8,15,25,40,70,150
490,TN,0,8,15,25,40,70,150
491,TN,0,8,15,25,40,70,150
492,TN,0,8,15,25,40,70,150
493,TN,0,8,15,25,40,70,150
494,TN,0,8,15,25,40,70,150
495,TN,0,8,15,25,40,70,150
496,TN,0,8,15,25,40,70,150
497,TN,0,8,15,25,40,70,150
498,TN,0,8,15,25,40,70,150
499,TN,0,8,15,25,40,70,150
500,TN,0,8,15,25,40,70,150
501,TN,0,8,15,25,40,70,150
502,TN,0,8,15,25,40,70,150
503,TN,0,8,15,25,40,70,150
504,TN,0,8,15,25,40,70,150
505,TN,0,8,15,25,40,70,150
506,TN,0,8,15,25,40,70,150
507,TN,0,8,15,25,40,70,150
508,TN,0,8,15,25,40,70,150
509,TN,0,8,15,25,40,70,150
510,TN,0,8,15,25,40,70,150
511,TN,0,8,15,25,40,70,150
512,TN,0,8,15,25,40,70,150
513,TN,0,8,15,25,40,70,150
514,TN,0,8,15,25,40,70,150
515,TN,0,8,15,25,40,70,150
516,TN,0,8,15,25,40,70,150
517,TN,0,8,15,25,40,70,150
518,TN,0,8,15,25,40,70,150
519,TN,0,8,15,25,40,70,150
520,TN,0,8,15,25,40,70,150
521,TN,0,8,15,25,40,70,150
522,TN,0,8,15,25,40,70,150
523,TN,0,8,15,25,40,70,150
524,TN,0,8,15,25,40,70,150
525,TN,0,8,15,25,40,70,150
526,TN,0,8,15,25,40,70,150
527,TN,0,8,15,25,40,70,150
528,TN,0,8,15,25,40,70,150
529,TN,0,8,15,25,40,70,150
530,TN,0,8,15,25,40,70,150
531,TN,0,8,15,25,40,70,150
532,TN,0,8,15,25,40,70,150
533,TN,0,8,15,25,40,70,150
534,TN,0,8,15,25,40,70,150
535,TN,0,8,15,25,40,70,150
536,TN,0,8,15,25,40,70,150
537,TN,0,8,15,25,40,70,150
538,TN,0,8,15,25,40,70,150
539,TN,0,8,15,25,40,70,150
540,TN,0,8,15,25,40,70,150
541,TN,0,8,15,25,40,70,150
542,TN,0,8,15,25,40,70,150
543,TN,0,8,15,25,40,70,150
544,TN,0,8,15,25,40,70,150
545,TN,0,8,15,25,40,70,150
546,TN,0,8,15,25,40,70,150
547,TN,0,8,15,25,40,70,150
548,TN,0,8,15,25,40,70,150
549,TN,0,8,15,25,40,70,150
550,TN,0,8,15,25,40,70,150
551,TN,0,8,15,25,40,70,150
552,TN,0,8,15,25,40,70,150
553,TN,0,8,15,25,40,70,150
554,TN,0,8,15,25,40,70,150
555,TN,0,8,15,25,40,70,150
556,TN,0,8,15,25,40,70,150
557,TN,0,8,15,25,40,70,150
558,TN,0,8,15,25,40,70,150
559,TN,0,8,15,25,40,70,150
560,TN,0,8,15,25,40,70,150
561,TN,0,8,15,25,40,70,150
562,TN,0,8,15,25,40,70,150
563,TN,0,8,15,25,40,70,150
564,TN,0,8,15,25,40,70,150
565,TN,0,8,15,25,40,70,150
566,TN,0,8,15,25,40,70,150
567,TN,0,8,15,25,40,70,150
568,TN,0,8,15,25,40,70,150
569,TN,0,8,15,25,40,70,150
570,TN,0,8,15,25,40,70,150
571,TN,0,8,15,25,40,70,150
572,TN,0,8,15,25,40,70,150
573,TN,0,8,15,25,40,70,150
574,TN,0,8,15,25,40,70,150
575,TN,0,8,15,25,40,70,150
576,TN,0,8,15,25,40,70,150
577,TN,0,8,15,25,40,70,150
578,TN,0,8,15,25,40,70,150
579,TN,0,8,15,25,40,70,150
580,TN,0,8,15,25,40,70,150
581,TN,0,8,15,25,40,70,150
582,TN,0,8,15,25,40,70,150
583,TN,0,8,15,25,40,70,150
584,TN,0,8,15,25,40,70,150
585,TN,0,8,15,25,40,70,150
586,TN,0,8,15,25,40,70,150
587,TN,0,8,15,25,40,70,150
588,TN,0,8,15,25,40,70,150
589,TN,0,8,15,25,40,70,150
590,TN,0,8,15,25,40,70,150
591,TN,0,8,15,25,40,70,150
592,TN,0,8,15,25,40,70,150
593,TN,0,8,15,25,40,70,150
594,TN,0,8,15,25,40,70,150
595,TN,0,8,15,25,40,70,150
596,TN,0,8,15,25,40,70,150
597,TN,0,8,15,25,40,70,150
598,TN,0,8,15,25,40,70,150
599,TN,0,8,15,25,40,70,150
600,TN,0,8,15,25,40,70,150
601,TN,0,8,15,25,40,70,150
602,TN,0,8,15,25,40,70,150
603,TN,0,8,15,25,40,70,150
604,TN,0,8,15,25,40,70,150
605,TN,0,8,15,25,40,70,150
606,TN,0,8,15,25,40,70,150
607,TN,0,8,15,25,40,70,150
608,TN,0,8,15,25,40,70,150
609,TN,0,8,15,25,40,70,150
610,TN,0,8,15,25,40,70,150
611,TN,0,8,15,25,40,70,150
612,TN,0,8,15,25,40,70,150
613,TN,0,8,15,25,40,70,150
614,TN,0,8,15,25,40,70,150
615,TN,0,8,15,25,40,70,150
616,TN,0,8,15,25,40,70,150
617,TN,0,8,15,25,40,70,150
618,TN,0,8,15,25,40,70,150
619,TN,0,8,15,25,40,70,150
620,TN,0,8,15,25,40,70,150
621,TN,0,8,15,25,40,70,150
622,TN,0,8,15,25,40,70,150
623,TN,0,8,15,25,40,70,150
624,TN,0,8,15,25,40,70,150
625,TN,0,8,15,25,40,70,150
626,TN,0,8,15,25,40,70,150
627,TN,0,8,15,25,40,70,150
628,TN,0,8,15,25,40,70,150
629,TN,0,8,15,25,40,70,150
630,TN,0,8,15,25,40,70,150
631,TN,0,8,15,25,40,70,150
632,TN,0,8,15,25,40,70,150
633,TN,0,8,15,25,40,70,150
634,TN,0,8,15,25,40,70,150
635,TN,0,8,15,25,40,70,150
636,TN,0,8,15,25,40,70,150
637,TN,0,8,15,25,40,70,150
638,TN,0,8,15,25,40,70,150
639,TN,0,8,15,25,40,70,150
640,TN,0,8,15,25,40,70,150
641,TN,0,8,15,25,40,70,150
642,TN,0,8,15,25,40,70,150
643,TN,0,8,15,25,40,70,150
644,TN,0,8,15,25,40,70,150
645,TN,0,8,15,25,40,70,150
646,TN,0,8,15,25,40,70,150
647,TN,0,8,15,25,40,70,150
648,TN,0,8,15,25,40,70,150
649,TN,0,8,15,25,40,70,150
650,TN,0,8,15,25,40,70,150
651,TN,0,8,15,25,40,70,150
652,TN,0,8,15,25,40,70,150
653,TN,0,8,15,25,40,70,150
654,TN,0,8,15,25,40,70,150
655,TN,0,8,15,25,40,70,150
656,TN,0,8,15,25,40,70,150
657,TN,0,8,15,25,40,70,150
658,TN,0,8,15,25,40,70,150
659,TN,0,8,15,25,40,70,150
660,TN,0,8,15,25,40,70,150
661,TN,0,8,15,25,40,70,150
662,TN,0,8,15,25,40,70,150
663,TN,0,8,15,25,40,70,150
664,TN,0,8,15,25,40,70,150
665,TN,0,8,15,25,40,70,150
666,TN,0,8,15,25,40,70,150
667,TN,0,8,15,25,40,70,150
668,TN,0,8,15,25,40,70,150
669,TN,0,8,15,25,40,70,150
670,TN,0,8,15,25,40,70,150
671,TN,0,8,15,25,40,70,150
672,TN,0,8,15,25,40,70,150
673,TN,0,8,15,25,40,70,150
674,TN,0,8,15,25,40,70,150
675,TN,0,8,15,25,40,70,150
676,TN,0,8,15,25,40,70,150
677,TN,0,8,15,25,40,70,150
678,TN,0,8,15,25,40,70,150
679,TN,0,8,15,25,40,70,150
680,TN,0,8,15,25,40,70,150
681,TN,0,8,15,25,40,70,150
682,TN,0,8,15,25,40,70,150
683,TN,0,8,15,25,40,70,150
684,TN,0,8,15,25,40,70,150
685,TN,0,8,15,25,40,70,150
686,TN,0,8,15,25,40,70,150
687,TN,0,8,15,25,40,70,150
688,TN,0,8,15,25,40,70,150
689,TN,0,8,15,25,40,70,150
690,TN,0,8,15,25,40,70,150
691,TN,0,8,15,25,40,70,150
692,TN,0,8,15,25,40,70,150
693,TN,0,8,15,25,40,70,150
694,TN,0,8,15,25,40,70,150
695,TN,0,8,15,25,40,70,150
696,TN,0,8,15,25,40,70,150
697,TN,0,8,15,25,40,70,150
698,TN,0,8,15,25,40,70,150
699,TN,0,8,15,25,40,70,150
700,TN,0,8,15,25,40,70,150
701,TN,0,8,15,25,40,70,150
702,TN,0,8,15,25,40,70,150
703,TN,0,8,15,25,40,70,150
704,TN,0,8,15,25,40,70,150
705,TN,0,8,15,25,40,70,150
706,TN,0,8,15,25,40,70,150
707,TN,0,8,15,25,40,70,150
708,TN,0,8,15,25,40,70,150
709,TN,0,8,15,25,40,70,150
710,TN,0,8,15,25,40,70,150
711,TN,0,8,15,25,40,70,150
712,TN,0,8,15,25,40,70,150
713,TN,0,8,15,25,40,70,150
714,TN,0,8,15,25,40,70,150
715,TN,0,8,15,25,40,70,150
716,TN,0,8,15,25,40,70,150
717,TN,0,8,15,25,40,70,150
718,TN,0,8,15,25,40,70,150
719,TN,0,8,15,25,40,70,150
720,TN,0,8,15,25,40,70,150
721,TN,0,8,15,25,40,70,150
722,TN,0,8,15,25,40,70,150
723,TN,0,8,15,25,40,70,150
724,TN,0,8,15,25,40,70,150
725,TN,0,8,15,25,40,70,150
726,TN,0,8,15,25,40,70,150
727,TN,0,8,15,25,40,70,150
728,TN,0,8,15,25,40,70,150
729,TN,0,8,15,25,40,70,150
730,TN,0,8,15,25,40,70,150
731,TN,0,8,15,25,40,70,150
732,TN,0,8,15,25,40,70,150
733,TN,0,8,15,25,40,70,150
734,TN,0,8,15,25,40,70,150
